METROREG,UNIT,2016,2017,2018
Belgium,Million euro,430372.10,446364.90,459819.80
Bruxelles / Brussel,Million euro,134293.37,137974.75,141689.31
Antwerpen,Million euro,48646.35,50478.13,52137.95
Gent,Million euro,27470.15,28830.02,29916.27
Charleroi,Million euro,11384.32,11689.12,11682.73
Liège,Million euro,19774.07,20735.05,21195.70
Non-metropolitan regions in Belgium,Million euro,188622.81,196466.20,202945.29
Bulgaria,Million euro,48620.50,52310.00,56086.92
Sofia,Million euro,21549.08,23236.58,:
Plovdiv,Million euro,3871.12,4165.95,:
Varna,Million euro,3153.63,3390.30,:
Burgas,Million euro,2446.02,2635.48,:
Non-metropolitan regions in Bulgaria,Million euro,17600.66,18881.66,:
Czechia,Million euro,176370.13,191721.76,207570.32
Praha,Million euro,65041.21,71535.21,:
Brno,Million euro,18956.98,20184.37,:
Ostrava,Million euro,16788.48,18016.66,:
Plzen,Million euro,9012.92,9694.83,:
Non-metropolitan regions in Czech Republic,Million euro,66570.54,72290.68,:
Denmark,Million euro,283109.65,292407.98,301340.90
København,Million euro,121457.88,125602.60,129534.88
Århus,Million euro,38214.29,39862.69,40991.02
Odense,Million euro,18875.75,19398.25,20020.86
Aalborg,Million euro,24388.31,25361.27,26104.29
Non-metropolitan regions in Denmark,Million euro,76703.45,78796.76,81194.36
Germany (until 1990 former territory of the FRG),Million euro,3134100.00,3244990.00,3344370.00
Berlin,Million euro,176282.00,184145.00,:
Hamburg,Million euro,151759.00,157840.00,:
München,Million euro,180032.00,189161.00,:
Köln,Million euro,93639.00,96636.00,:
Frankfurt am Main,Million euro,143329.00,146913.00,:
Stuttgart,Million euro,142578.00,147933.00,:
Leipzig,Million euro,31356.00,32509.00,:
Dresden,Million euro,40184.00,41489.00,:
Düsseldorf,Million euro,84294.00,86834.00,:
Bremen,Million euro,47084.00,48826.00,:
Hannover,Million euro,53545.00,55042.00,:
Nürnberg,Million euro,60277.00,62633.00,:
Bielefeld,Million euro,12640.00,12939.00,:
Halle an der Saale,Million euro,12754.00,13224.00,:
Magdeburg,Million euro,14828.00,15270.00,:
Wiesbaden,Million euro,21672.00,22553.00,:
Göttingen,Million euro,14789.00,15372.00,:
Darmstadt,Million euro,19506.00,20464.00,:
Freiburg im Breisgau,Million euro,23409.00,24322.00,:
Regensburg,Million euro,20502.00,21899.00,:
Schwerin,Million euro,8376.00,8730.00,:
Erfurt,Million euro,16352.00,16946.00,:
Augsburg,Million euro,24254.00,24802.00,:
Bonn,Million euro,38280.00,39953.00,:
Karlsruhe,Million euro,34482.00,35722.00,:
Mönchengladbach,Million euro,8496.00,8764.00,:
Mainz,Million euro,18923.00,19096.00,:
Ruhrgebiet,Million euro,157661.00,162618.00,:
Kiel,Million euro,21038.00,22145.00,:
Saarbrücken,Million euro,29536.00,29879.00,:
Koblenz,Million euro,14282.00,14691.00,:
Rostock,Million euro,12096.00,12994.00,:
Kaiserslautern,Million euro,8180.00,8297.00,:
Iserlohn,Million euro,14613.00,15118.00,:
Flensburg,Million euro,8605.00,9030.00,:
Konstanz,Million euro,9407.00,9678.00,:
Gießen,Million euro,9036.00,9250.00,:
Bayreuth,Million euro,9048.00,9458.00,:
Aschaffenburg,Million euro,14834.00,14876.00,:
Neubrandenburg,Million euro,6602.00,6984.00,:
Rosenheim,Million euro,10967.00,11384.00,:
Offenburg,Million euro,16380.00,16920.00,:
Görlitz,Million euro,6489.00,6661.00,:
Schweinfurt,Million euro,10787.00,11340.00,:
Wetzlar,Million euro,8240.00,8370.00,:
Braunschweig-Salzgitter-Wolfsburg,Million euro,49745.00,49597.00,:
Mannheim-Ludwigshafen,Million euro,51912.00,53676.00,:
Münster,Million euro,23095.00,23959.00,:
Aachen,Million euro,20128.00,20655.00,:
Lübeck,Million euro,13154.00,13836.00,:
Kassel,Million euro,17587.00,17589.00,:
Osnabrück,Million euro,18222.00,19007.00,:
Oldenburg (Oldenburg),Million euro,13635.00,14371.00,:
Heidelberg,Million euro,25941.00,26943.00,:
Paderborn,Million euro,10575.00,10860.00,:
Würzburg,Million euro,19242.00,20219.00,:
Bremerhaven,Million euro,8176.00,8558.00,:
Heilbronn,Million euro,22151.00,23205.00,:
Ulm,Million euro,21120.00,21652.00,:
Pforzheim,Million euro,10639.00,10983.00,:
Ingolstadt,Million euro,29224.00,30254.00,:
Reutlingen,Million euro,11081.00,11294.00,:
Siegen,Million euro,14107.00,14487.00,:
Hildesheim,Million euro,7516.00,7737.00,:
Zwickau,Million euro,9565.00,9903.00,:
Wuppertal,Million euro,12883.00,12813.00,:
Düren,Million euro,7301.00,7545.00,:
Bocholt,Million euro,12923.00,13399.00,:
Non-metropolitan regions in Germany,Million euro,835548.00,865294.00,:
Estonia,Million euro,21693.64,23775.82,26035.85
Tallinn,Million euro,14118.16,15456.68,16896.38
Non-metropolitan regions in Estonia,Million euro,7575.48,8319.03,9139.47
Ireland,Million euro,271683.60,297130.80,324038.20
Dublin,Million euro,136369.93,147476.87,:
Cork,Million euro,:,:,:
Non-metropolitan regions in Ireland,Million euro,:,:,:
Greece,Million euro,176487.90,180217.60,184713.60
Athina,Million euro,79807.00,81407.00,:
Thessaloniki,Million euro,15552.00,15992.00,:
Non-metropolitan regions in Greece,Million euro,81129.00,82819.00,:
Spain,Million euro,1113840.00,1161878.00,1202193.00
Madrid,Million euro,211672.67,221432.65,:
Barcelona,Million euro,157031.15,163829.84,:
Valencia,Million euro,55304.74,57719.42,:
Sevilla,Million euro,36521.87,38214.99,:
Zaragoza,Million euro,24901.84,25996.30,:
Málaga - Marbella,Million euro,28309.09,29675.80,:
Murcia - Cartagena,Million euro,29369.93,30601.16,:
Las Palmas,Million euro,15872.66,16818.91,:
Valladolid,Million euro,12927.18,13279.41,:
Palma de Mallorca,Million euro,24109.35,25379.95,:
Vitoria/Gasteiz,Million euro,11617.82,11983.38,:
Oviedo - Gijón,Million euro,21694.29,22639.83,:
Pamplona/Iruña,Million euro,18747.27,19554.62,:
Santander,Million euro,12736.08,13225.91,:
Bilbao,Million euro,33915.16,35045.95,:
Córdoba,Million euro,13519.20,14152.37,:
Alicante/Alacant - Elche/Elx,Million euro,33675.02,35061.83,:
Vigo,Million euro,19307.34,20338.78,:
Santa Cruz de Tenerife,Million euro,18307.33,19455.67,:
A Coruña,Million euro,25202.93,26144.57,:
Granada,Million euro,15824.72,16399.59,:
Guipúzcoa,Million euro,21594.01,22694.54,:
Cádiz,Million euro,20803.94,21512.80,:
Non-metropolitan regions in Spain,Million euro,249803.24,259642.70,:
France,Million euro,2234129.00,2295063.00,2353090.00
Paris,Million euro,685668.00,:,:
Lyon,Million euro,82808.00,:,:
Toulouse,Million euro,54596.00,:,:
Strasbourg,Million euro,36932.00,:,:
Bordeaux,Million euro,51571.00,:,:
Nantes,Million euro,47587.00,:,:
Lille - Dunkerque - Valenciennes,Million euro,76715.00,:,:
Montpellier,Million euro,31865.00,:,:
Saint-Etienne,Million euro,20503.00,:,:
Rennes,Million euro,35223.00,:,:
Amiens,Million euro,15048.00,:,:
Rouen,Million euro,39451.00,:,:
Nancy,Million euro,19212.00,:,:
Reims,Million euro,18794.00,:,:
Orléans,Million euro,20879.00,:,:
Dijon,Million euro,17476.00,:,:
Poitiers,Million euro,12165.00,:,:
Clermont-Ferrand,Million euro,19342.00,:,:
Caen,Million euro,20234.00,:,:
Limoges,Million euro,10386.00,:,:
Besançon,Million euro,14761.00,:,:
Grenoble,Million euro,39722.00,:,:
Fort-de-France,Million euro,9268.00,:,:
Tours,Million euro,17743.00,:,:
Angers,Million euro,21801.00,:,:
Brest,Million euro,24420.00,:,:
Le Mans,Million euro,16157.00,:,:
Mulhouse,Million euro,20912.00,:,:
Perpignan,Million euro,10672.00,:,:
Nimes,Million euro,17183.00,:,:
Pau,Million euro,20182.00,:,:
Annecy (FR) / Genève (CH),Million euro,23642.00,:,:
Marseille,Million euro,94137.00,:,:
Nice,Million euro,37131.00,:,:
Non-metropolitan regions in France,Million euro,548873.00,:,:
Croatia,Million euro,46615.52,49094.43,51625.08
Zagreb,Million euro,19384.69,20549.85,:
Split,Million euro,3911.09,4113.63,:
Non-metropolitan regions in Croatia,Million euro,23319.74,24430.94,:
Italy,Million euro,1695590.00,1736602.00,1765421.00
Roma,Million euro,160992.96,163143.15,:
Milano,Million euro,202800.51,207549.58,:
Napoli,Million euro,58387.95,59667.12,:
Torino,Million euro,71065.73,73625.30,:
Palermo,Million euro,23014.09,23538.61,:
Genova,Million euro,28984.69,29719.85,:
Firenze,Million euro,37217.59,37743.27,:
Bari,Million euro,26325.42,26604.71,:
Bologna,Million euro,39479.00,40779.49,:
Catania,Million euro,19726.70,20096.39,:
Venezia,Million euro,26055.84,26644.95,:
Verona,Million euro,30388.93,31417.11,:
Taranto,Million euro,10372.94,10612.16,:
Cagliari,Million euro,13690.85,13811.70,:
Padova,Million euro,30660.51,31503.61,:
Brescia,Million euro,40806.86,42151.67,:
Messina,Million euro,11215.53,11386.04,:
Prato,Million euro,7796.08,8123.41,:
Parma,Million euro,16281.08,16770.44,:
Reggio nell Emilia,Million euro,18383.92,19024.30,:
Bergamo,Million euro,35417.28,36378.11,:
Non-metropolitan regions in Italy,Million euro,785270.84,804842.66,:
Cyprus,Million euro,18872.87,20039.70,21137.81
Lefkosia,Million euro,18872.87,20039.70,21138.00
Latvia,Million euro,25072.64,26797.83,29151.03
Riga,Million euro,17384.89,18655.46,:
Non-metropolitan regions in Latvia,Million euro,7653.10,8105.57,:
Lithuania,Million euro,38893.37,42269.37,45264.38
Vilnius,Million euro,15833.49,17195.53,:
Kaunas,Million euro,7889.35,8626.42,:
Non-metropolitan regions in Lithuania,Million euro,15170.53,16447.41,:
Luxembourg,Million euro,54867.23,56814.21,60053.08
Luxembourg,Million euro,54867.23,56814.21,60053.08
Hungary,Million euro,115259.21,125603.10,133782.20
Budapest,Million euro,53277.72,58342.78,62575.23
Miskolc,Million euro,5425.21,6245.91,6502.03
Pécs,Million euro,2800.36,3082.53,3337.94
Debrecen,Million euro,4320.42,4882.29,5201.26
Székesfehérvár,Million euro,5161.46,5601.46,5814.35
Non-metropolitan regions in Hungary,Million euro,44274.03,47448.11,50351.40
Malta,Million euro,10365.64,11332.10,12378.79
Valletta,Million euro,9921.75,10840.84,11825.64
Non-metropolitan regions in Malta,Million euro,427.72,473.90,534.01
Netherlands,Million euro,708337.00,738146.00,774039.00
s' Gravenhage,Million euro,47509.67,48171.00,:
Amsterdam,Million euro,165478.80,172569.00,:
Rotterdam,Million euro,78695.18,81687.00,:
Utrecht,Million euro,64514.47,68226.00,:
Eindhoven,Million euro,35800.46,38234.00,:
Tilburg,Million euro,16593.07,17431.00,:
Groningen,Million euro,20270.75,20723.00,:
Enschede,Million euro,20703.68,21539.00,:
Arnhem - Nijmegen,Million euro,25906.66,26898.00,:
Breda,Million euro,25883.23,27189.00,:
Leeuwarden,Million euro,9246.64,9392.00,:
Leiden,Million euro,14874.74,15239.00,:
Zwolle,Million euro,13708.73,14255.00,:
Non-metropolitan regions in Netherlands,Million euro,166980.67,174374.00,:
Austria,Million euro,357299.70,370295.80,385711.90
Wien,Million euro,123915.20,126655.86,:
Graz,Million euro,26083.98,27166.88,:
Linz,Million euro,35194.65,36694.07,:
Salzburg,Million euro,19121.75,19811.03,:
Innsbruck,Million euro,13287.56,13784.66,:
Non-metropolitan regions in Austria,Million euro,139567.60,146049.90,:
Poland,Million euro,426555.74,467312.90,496360.91
Warszawa,Million euro,72654.88,80459.46,:
Lódz,Million euro,13134.10,14330.63,:
Kraków,Million euro,20119.00,22394.69,:
Wroclaw,Million euro,11659.07,13041.36,:
Poznan,Million euro,20815.92,22823.72,:
Gdansk,Million euro,16655.74,18343.67,:
Szczecin,Million euro,5302.31,5792.06,:
Bydgoszcz - Torún,Million euro,8944.09,9645.14,:
Lublin,Million euro,7272.39,7952.78,:
Katowice,Million euro,33642.03,36633.03,:
Bialystok,Million euro,4659.11,5086.98,:
Kielce,Million euro,6672.52,7293.97,:
Olsztyn,Million euro,5502.36,5851.44,:
Rzeszów,Million euro,6153.60,6694.28,:
Opole,Million euro,6255.05,6832.57,:
Czestochowa,Million euro,4978.25,5467.87,:
Radom,Million euro,4634.21,5146.09,:
Bielsko-Biala,Million euro,7841.90,8436.39,:
Tarnów,Million euro,3285.53,3613.69,:
Non-metropolitan regions in Poland,Million euro,166374.75,181472.25,:
Portugal,Million euro,186489.80,195947.20,203896.20
Lisboa,Million euro,66942.30,70359.44,:
Porto,Million euro,29646.45,31335.54,:
Coimbra,Million euro,7282.34,7558.09,:
Non-metropolitan regions in Portugal,Million euro,82478.01,86545.46,:
Romania,Million euro,170393.60,187772.65,204640.48
Bucuresti,Million euro,46262.60,51020.53,:
Cluj-Napoca,Million euro,8028.35,9420.57,:
Timisoara,Million euro,8173.03,8535.33,:
Craiova,Million euro,4047.68,4557.24,:
Constanta,Million euro,7671.24,7976.40,:
Iasi,Million euro,5285.22,6238.40,:
Galati,Million euro,2887.67,3208.93,:
Brasov,Million euro,5847.53,6334.46,:
Ploiesti,Million euro,7626.11,7315.77,:
Non-metropolitan regions in Romania,Million euro,74446.02,83015.85,:
Slovenia,Million euro,40366.56,42987.06,45754.82
Ljubljana,Million euro,14892.45,15815.59,16970.39
Maribor,Million euro,5157.02,5424.52,5748.53
Non-metropolitan regions in Slovenia,Million euro,20317.08,21746.94,23035.91
Slovakia,Million euro,81038.38,84517.01,89720.96
Bratislava,Million euro,23372.38,24250.72,25450.00
Kosice,Million euro,9353.01,10297.76,10677.00
Non-metropolitan regions in Slovakia,Million euro,48312.98,49968.54,53594.00
Finland,Million euro,217484.00,225785.00,234453.00
Helsinki,Million euro,84952.61,88168.91,:
Tampere,Million euro,18408.22,19120.95,:
Turku,Million euro,17261.60,18356.41,:
Non-metropolitan regions in Finland,Million euro,96804.08,100079.84,:
Sweden,Million euro,466347.62,479605.40,471207.90
Stockholm,Million euro,146939.00,148610.52,:
Göteborg,Million euro,79907.00,81867.03,:
Malmö,Million euro,52501.00,55000.60,:
Uppsala,Million euro,16265.00,16989.19,:
Non-metropolitan regions in Sweden,Million euro,170631.00,177029.53,:
United Kingdom,Million euro,2435055.16,2363109.27,2423736.59
London,Million euro,808061.06,782839.59,801659.65
West Midlands urban area,Million euro,75093.47,73273.64,76394.50
Leeds,Million euro,60088.47,58655.00,60980.48
Glasgow,Million euro,55291.31,53994.54,54994.19
Bradford,Million euro,12624.91,12317.84,12041.17
Liverpool,Million euro,48678.26,47270.02,48544.37
Edinburgh,Million euro,40958.70,40121.93,41810.11
Manchester,Million euro,120898.65,118699.69,121328.55
Cardiff,Million euro,31345.21,30432.47,30797.55
Sheffield,Million euro,16404.57,15778.00,16050.23
Bristol,Million euro,45061.56,43337.68,44796.90
Belfast,Million euro,27442.28,27412.52,27923.77
Newcastle upon Tyne,Million euro,32212.06,30793.33,31211.54
Leicester,Million euro,42770.48,41080.38,42508.55
Aberdeen,Million euro,24235.05,22610.01,23156.58
Cambridge,Million euro,24938.95,24329.85,25286.20
Exeter,Million euro,22716.34,22114.79,22507.66
Portsmouth,Million euro,21748.14,20613.77,20854.26
Coventry,Million euro,36796.96,36004.04,36964.17
Kingston upon Hull,Million euro,16351.17,16086.40,16554.39
Stoke-on-Trent,Million euro,30418.09,29173.30,30029.27
Nottingham,Million euro,13002.87,12777.24,12843.74
Kirklees,Million euro,16032.08,15406.90,15511.80
Doncaster,Million euro,18554.60,18179.89,18639.56
Sunderland,Million euro,9299.90,8912.71,9503.91
Medway,Million euro,6877.35,6654.14,7080.95
Brighton and Hove,Million euro,10413.25,10413.74,10679.84
Plymouth,Million euro,7173.15,6753.96,6913.32
Swansea,Million euro,14171.01,13866.21,14401.91
Derby,Million euro,9232.79,8382.94,9063.26
Southampton,Million euro,30185.29,29146.43,29473.05
Northampton,Million euro,14973.50,14718.46,15124.48
Bournemouth,Million euro,11767.63,11525.75,11558.61
Colchester,Million euro,12186.68,12452.21,12246.89
Blackburn - Blackpool - Preston,Million euro,23013.50,22366.88,22690.53
Middlesbrough,Million euro,14685.92,13862.37,13909.19
Oxford,Million euro,28159.88,26949.28,26883.73
Norwich,Million euro,11922.38,11629.40,11891.32
Cheshire West and Chester,Million euro,21539.99,20919.61,21383.81
Ipswich,Million euro,24324.07,23425.15,23818.20
Non-metropolitan regions in United Kingdom,Million euro,522547.02,508015.71,516511.80
Norway,Million euro,333471.25,353316.39,:
Oslo,Million euro,94049.43,97400.29,:
Bergen,Million euro,57895.42,58213.67,:
Montenegro,Million euro,3954.21,4299.09,4663.13
Non-metropolitan regions in Montenegro,Million euro,3954.21,4299.09,4663.13
North Macedonia,Million euro,9656.47,10038.31,:
Non-metropolitan regions in North Macedonia,Million euro,9656.47,10038.30,:
Albania,Million euro,10719.85,11563.78,12782.40
Non-metropolitan regions in Albania,Million euro,10719.85,11563.77,12782.00
Serbia,Million euro,36723.05,39183.27,42855.50
Turkey,Million euro,780224.85,754902.24,652519.92
